id,title,platform,link,changed,old_used_ingredients,new_used_ingredients,added_ingredients,removed_ingredients,llm_raw_ingredients,unmapped_ingredients,error,content_preview
4933,💚태어나서 이렇게 맛있는 배추겉절이는 처음 봅니다  한통 가득 만들어도 남아나질 않습니다,youtube(인플루언서),https://www.youtube.com/watch?v=vmIaOR5MC98,Y,"고춧가루,김치,마늘,멸치,배추,사과,생강,생강가루,설탕,소금,알배추,액젓,쪽파,참깨","고춧가루,마늘,사과,생강가루,설탕,소금,알배추,액젓,쪽파,참깨",,"김치,멸치,배추,생강","알배추, 천일염, 마늘, 생강가루, 쪽파, 고춧가루, 멸치액젓, 설탕, 통깨, 사과",,,"💚태어나서 이렇게 맛있는 배추겉절이는 처음 봅니다  한통 가득 만들어도 남아나질 않습니다
[재료] 
알배추 2통(1.6kg)
천일염 1컵
마늘 1/4컵
생강가루 1/4작은술
쪽파 1/2줌(60g)
고춧가루 1/2컵
멸치액젓 1/4컵(65ml)
설탕 1/2큰술
통깨 1큰술
사과 1/2개(100g)

1작은술 = 5ml
1큰술 = 15ml
1컵 = 200ml
💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannarecipe.com/category/%EA%B0%84%ED%8E%B8%EB%B0%A5%EC%83%81/67/

💚맛나요리 네이버 밴드💚
https://band.us/@mannarecipe"
4934,💚봄동 이렇게 먹었더니 노안 항암에 최고! 온가족이 감탄해서 입이 벌어집니다,youtube(인플루언서),https://www.youtube.com/watch?v=PDb9Nt5TZXg,Y,"감자,고추,다시마,마늘,매실,매실청,미나리,생강,생강가루,소금,쪽파,청양고추,파프리카","감자,다시마,마늘,매실청,미나리,생강가루,소금,쪽파,청양고추,파프리카",,"고추,매실,생강","봄동, 파프리카, 미나리, 청양고추, 쪽파, 감자, 생수, 생강가루, 마늘, 천일염, 매실청, 다시마","봄동, 생수",,"💚봄동 이렇게 먹었더니 노안 항암에 최고! 온가족이 감탄해서 입이 벌어집니다
[재료] 
봄동 800g
파프리카 180g
미나리 한줌(150g)
청양고추 10개
쪽파 50g
감자 1개(150g)+(생수 400ml)
생강가루 1/2작은술
마늘 4쪽
천일염 4큰술(60g)
매실청 4큰술
생수 2L
다시마 20g

1작은술 = 5ml
1큰술 = 15ml
💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannarecipe.com/category/%EA%B0%84%ED%8E%B8%EB%B0%A5%EC%83%81/67/

💚맛나요리 네이버 밴드💚
https://band.us/@mannarecipe"
4935,💚머위순 보이면 무조건 사와서 이렇게 만드세요 한통 가득 만들어도 남아나질 않습니다,youtube(인플루언서),https://www.youtube.com/watch?v=UIjLiA8-KPA,Y,"들기름,땅콩,땅콩가루,매실,매실청,머위,볶은콩가루,소금,유자,유자청,참깨,콩가루","들기름,매실청,머위,볶은콩가루,유자청,참깨",,"땅콩,땅콩가루,매실,소금,유자,콩가루","머위순, 유자청, 들기름, 고운소금, 매실청, 통깨, 볶은콩가루, 볶은땅콩가루","고운소금, 볶은땅콩가루",,"💚머위순 보이면 무조건 사와서 이렇게 만드세요 한통 가득 만들어도 남아나질 않습니다
[재료] 
머위순 200g
유자청 2큰술
들기름 1큰술
고운소금 1/2작은술
매실청 1큰술
통깨 약간

머위순 200g
볶은콩가루 3큰술
볶은땅콩가루 2큰술
고운소금 1/2작은술
통깨 1큰술

1작은술 = 5ml
1큰술 = 15ml
💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannarecipe.com/category/%EA%B0%84%ED%8E%B8%EB%B0%A5%EC%83%81/67/

💚맛나요리 네이버 밴드💚
https://band.us/@mannarecipe"
4936,💚샐러드 드레싱은 무조건 이렇게! 이렇게 했더니 온 가족이 감탄해서 입이 벌어집니다,youtube(인플루언서),https://www.youtube.com/watch?v=B-4j85YOQhg,Y,"꿀,드레싱,레몬,레몬드레싱,매실,매실청,샐러드 드레싱,소금,올리브,올리브유,요거트,유자,유자청,후추","꿀,레몬,마늘,매실청,올리브유,유자청,청주,후추","마늘,청주","드레싱,레몬드레싱,매실,샐러드 드레싱,소금,올리브,요거트,유자","유자청, 올리브오일, 매실청, 고운소금, 후추, 레몬, 꿀, 플레인요구르트, 마늘, 물, 청주, 생수","고운소금, 플레인요구르트, 물, 생수",,"💚대박 한정식집 샐러드 드레싱(소스) 진작 이렇게 할걸! 한통 가득 만들어도 남아나질 않습니다
[유자드레싱재료] 
유자청 2큰술
올리브오일 1큰술
매실청 1큰술
고운소금 1/4작은술
후추약간
💚샐러드 드레싱은 무조건 이렇게! 이렇게 했더니 온 가족이 감탄해서 입이 벌어집니다
[레몬드레싱재료]
올리브오일 3큰술
레몬 1/2개
꿀 1큰술
고운소금 1/4작은술

[요구르트유자드레싱재료]
플레인요구르트 2큰술
유자청 2큰술
매실청 1큰술
올리브오일 1큰술
고운소금 1/4작은술

[마늘소스재료]
마늘 4쪽
고운소금 1/2작은술
올리브오일 4큰술
매실청 3큰술

[브로콜리찌기]
고운소금 1/4작은술
물 50cc

[새우찌기]
청주 2큰술
-사과-
고운소금 1/2작은술
생수 1/2컵
1작은술 = 5ml
1큰술 = 15ml
1컵 = 200ml

💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannare"
4937,💚무 보이면 무조건 사서 이렇게 만드세요 한통 가득 만들어도 남아나지 않습니다/무요리,youtube(인플루언서),https://www.youtube.com/watch?v=cmdLBc_zPsg,Y,"김치,들기름,무,소금,참기름","들기름,무,소금,참기름",,김치,"무, 천일염, 들기름, 참기름",,,"💚무 보이면 무조건 사서 이렇게 만드세요 한통 가득 만들어도 남아나지 않습니다/무요리
[재료] 
무 1kg 
천일염 1큰술
들기름 2큰술
참기름 1큰술
1큰술 = 15ml

💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannarecipe.com/category/%EA%B0%84%ED%8E%B8%EB%B0%A5%EC%83%81/67/

💚맛나요리 네이버 밴드💚
https://band.us/@mannarecipe"
4938,"💚묵은지가 있다면 ""이렇게"" 하세요 온가족이 박수 칩니다",youtube(인플루언서),https://www.youtube.com/watch?v=TDfZJy8Gk30,Y,"간,간장,돼지고기,두부,들깨,들깨가루,라이스페이퍼,마늘,묵은지,버섯,부추,생강,생강가루,소금,애호박,참기름,청주,표고버섯,호박,후추","간장,다시마,다진마늘,두부,들깨가루,떡국떡,라이스페이퍼,마늘,멸치,묵은지,부추,생강가루,애호박,참기름,청주,파,표고버섯,후추","다시마,다진마늘,떡국떡,멸치,파","간,돼지고기,들깨,버섯,생강,소금,호박","라이스페이퍼, 묵은지, 부추, 애호박, 부침용 두부, 간 돼지고기, 표고버섯, 마늘, 후추, 참기름, 청주, 양조간장, 고운소금, 생강가루, 들깨가루, 생수, 해물육수, 다시마, 다시멸치, 대파뿌리, 국간장, 떡국떡, 다진마늘, 대파","간 돼지고기, 고운소금, 생수, 해물육수, 대파뿌리",,"💚묵은지가 있다면 꼭 이렇게 만드세요 한통 가득 만들어도 남아나질 않습니다
재료] 
라이스페이퍼 약간
묵은지 잎 약간
부추 100g
애호박 1/2개(150g)
부침용 두부 1모
간 돼지고기 350g
불린 표고버섯 4개
마늘 6쪽
후추 약간
참기름 1큰술
청주 2큰술
양조간장 2큰술
고운소금 1작은술
생강가루 1/2작은술
들깨가루 3큰술

[묵은지 탕]
생수 1L
해물육수 1알 또는 (다시마 10g+ 다시멸치 10g+ 대파뿌리 약간+ 청주 2큰술)
국간장 2큰술
떡국떡 1공기
묵은지 주머니 만두 6개
다진마늘 1큰술
애호박 약간
대파 약간

1작은술 = 5ml
1큰술 = 15ml
1컵 = 200ml
💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannarecipe.com/category/%EA%B0%84%ED%8E%B8%EB%B0%A5%EC%83%81/67/

💚맛나요리 네이버 밴드💚
ht"
4939,💚된장 소금물로만 담그지 마세요 ○○을 넣어야 맛10배 감칠맛이 폭발해요/집된장 더욱 맛있게 만드는 비법,youtube(인플루언서),https://www.youtube.com/watch?v=0lQB_qy79Ls,Y,"고추,된장,메주,북어,북어채,소금","메주,북어,북어채,소금",,"고추,된장","메주, 물, 천일염, 북어, 북어채, 참옻나무, 숯, 건고추","물, 참옻나무, 숯, 건고추",,"💚장 소금물로만 담그지 마세요 ○○을 넣어야 맛10배 감칠맛이 폭발해요/집된장 더욱 맛있게 만드는 비법
[재료] 
메주 6kg
물 20L
천일염 5kg
북어 4마리(북어채 300g)
참옻나무 300g
숯 약간
건고추 약간

💚맛나요리 메주공구 전화번호: 070-7944-6811로 전화하시거나 여기로 들어가시면 됩니다:
https://mannarecipe.com/product/detail.html?product_no=173&srsltid=AfmBOorK_JDyfOB_yjLrmUXElnJ17Dxymt8ZIJdpWkgW4FlvnabgJWKYbp4&utm_term=UCVXx89z5j3gkQMGScNqmWjw&utm_medium=product_shelf&utm_source=youtube&utm_content=YT-APM2gMAeISEE-upTM7y0GvptRyV_4EbX9pSMe7HDv_U9V-C6mInYlGIE2hX9WWVRG2GyMv-BelffEm3KiLYrmNGrd584a3wynaAoD"
4940,💚뱃살 너무빠져 고민 미역은 무조건 이렇게!/2주에 5kg 빠지는 미역요리/다이어트요리 미역요리,youtube(인플루언서),https://www.youtube.com/watch?v=itI5bsutfGg,Y,"간장,감자,멸치,미역,소고기,쌀가루,액젓,참기름,청주","감자,미역,불고깃감,쌀가루,액젓,참기름,청주",불고깃감,"간장,멸치,소고기","불고기용 소고기, 액젓, 청주, 집간장, 참기름, 미역, 멸치액젓, 감자, 물, 쌀가루","집간장, 물",,"💚뱃살 너무빠져 고민 미역은 무조건 이렇게!/2주에 5kg 빠지는 미역요리/다이어트요리 미역요리
[고기재움 재료]  
불고기용 소고기 300g
액젓 1큰술
청주 1큰술
집간장 1/2큰술
참기름 1큰술

[미역무침 재료]
미역 30g
집간장 1/2큰술
멸치액젓 1큰술
참기름 1큰술
청주 1큰술

감자 2개(600g)
물 1.5L
쌀가루 3큰술

1큰술 = 15ml
💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannarecipe.com/category/%EA%B0%84%ED%8E%B8%EB%B0%A5%EC%83%81/67/

💚맛나요리 네이버 밴드💚
https://band.us/@mannarecipe"
4941,💚멸치볶음 간장대신 이것 넣어 맛 최고입니다/한통 가득 만들어도 남아나질 않습니다,youtube(인플루언서),https://www.youtube.com/watch?v=hUnYfzpVRmg,Y,"간장,고추,김치,다시마,다진마늘,마늘,멸치,빨간고추,설탕,식용유,조청,참기름,참깨,청양고추,청주","다시마,다진마늘,멸치,빨간고추,설탕,식용유,조청,참기름,참깨,청양고추,청주",,"간장,고추,김치,마늘","멸치, 식용유, 간마늘, 조청, 청양고추, 홍고추, 참기름, 설탕, 청주, 통깨, 생수, 다시마",생수,,"💚멸치볶음 간장대신 이것 넣어 맛 최고입니다/한통 가득 만들어도 남아나질 않습니다  
[재료]                         
멸치 500g
식용유 2큰술
간마늘 2큰술
조청 4큰술
청양고추 5개(80g)
홍고추 5개(120g)
참기름 2큰술
설탕 1큰술
청주 2큰술
통깨 2큰술
다시마물 100cc(생수 200cc+다시마 10g)

1큰술 = 15ml
💚맛나요리가 직접 운영하는 믿을 수 있는 쇼핑몰💚
https://mannarecipe.com/

💚맛나요리 김치구매하러 가기💚
https://mannarecipe.com/category/%EA%B0%84%ED%8E%B8%EB%B0%A5%EC%83%81/67/

💚맛나요리 네이버 밴드💚
https://band.us/@mannarecipe"
4942,💚제발 고구마 굽거나 쪄서만 먹지 마세요/한통 가득 만들어도 남아나질 않습니다,youtube(인플루언서),https://www.youtube.com/watch?v=T7OlVCjqCNg,Y,"고구마,귤,꿀,레몬,배추,볶은콩가루,소금,우유,콩가루","귤,꿀,레몬,볶은콩가루,우유",,"고구마,배추,소금,콩가루","찐고구마, 귤, 볶은콩가루, 고운소금, 꿀, 우유, 레몬","찐고구마, 고운소금",,"💚제발 고구마 굽거나 쪄서만 먹지 마세요/한통 가득 만들어도 남아나질 않습니다
[재료]                         
찐고구마 300g
귤 3개(200g)
볶은콩가루 3큰술
고운소금 1/2작은술
꿀 1큰술

[라떼재료] 
찐고구마 300g
우유 500ml
레몬 2큰술

1작은술 = 5ml
1큰술 = 15ml

💚맛나요리 강원도 고랭지 20kg절임배추 판매 https://mannarecipe.com/product/%F0%9F%A5%AC%EC%98%88%EC%95%BD%ED%8A%B9%EA%B0%80%F0%9F%A5%AC-%EA%B9%80%EC%9E%A5-%EC%A0%84%EB%82%A0-%EB%B0%9B%EC%95%84%EB%B3%B4%EC%84%B8%EC%9A%94%F0%9F%92%95-%5B%EB%AA%85%ED%92%88-%EA%B3%A0%EB%9E%AD%EC%A7%80-%EC%A0%88%EC%9E%84%EB%B0%B0%EC%B6%94%5D/151/category/"
